campus_id,year,category,geography,federal_count,current_report_count,current_status,comparison,pdf_page,source_url,source_sha256
123961001,2024,dating_violence,noncampus,0,0,reported_numeric,numeric_agreement,104,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=104,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2024,dating_violence,oncampus,13,13,reported_numeric,numeric_agreement,104,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=104,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2024,dating_violence,publicproperty,0,0,reported_numeric,numeric_agreement,104,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=104,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2024,dating_violence,residential,7,7,reported_numeric,numeric_agreement,104,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=104,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2024,domestic_violence,noncampus,1,1,reported_numeric,numeric_agreement,104,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=104,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2024,domestic_violence,oncampus,3,3,reported_numeric,numeric_agreement,104,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=104,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2024,domestic_violence,publicproperty,0,0,reported_numeric,numeric_agreement,104,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=104,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2024,domestic_violence,residential,0,0,reported_numeric,numeric_agreement,104,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=104,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2024,fondling,noncampus,4,4,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
123961001,2024,fondling,oncampus,16,16,reported_numeric,numeric_agreement,103,https://dps.usc.edu/wp-content/uploads/2026/09/2026-Annual-Security-and-Fire-Safety-Report.pdf#page=103,7d4270c9f907036d36dfd0ecc33bfdc27e805e96a9d06a77e184a21892ce2d1f
