campus_id,year,category,geography,federal_count,current_report_count,comparison,current_pdf_page,federal_source_file,federal_source_row,federal_source_column
198419001,2022,arson,residential,2,2,numeric_agreement,41,Residencehallcrime222324.xls,4617,ARSON22
198419001,2023,arson,residential,0,0,numeric_agreement,41,Residencehallcrime222324.xls,4617,ARSON23
198419001,2024,arson,residential,0,0,numeric_agreement,41,Residencehallcrime222324.xls,4617,ARSON24
198419001,2022,arson,noncampus,0,0,numeric_agreement,41,Noncampuscrime222324.xls,4617,ARSON22
198419001,2023,arson,noncampus,0,0,numeric_agreement,41,Noncampuscrime222324.xls,4617,ARSON23
198419001,2024,arson,noncampus,0,0,numeric_agreement,41,Noncampuscrime222324.xls,4617,ARSON24
198419001,2022,arson,publicproperty,0,0,numeric_agreement,41,Publicpropertycrime222324.xls,4617,ARSON22
198419001,2023,arson,publicproperty,0,0,numeric_agreement,41,Publicpropertycrime222324.xls,4617,ARSON23
198419001,2024,arson,publicproperty,0,0,numeric_agreement,41,Publicpropertycrime222324.xls,4617,ARSON24
198419001,2022,stalking,oncampus,34,34,numeric_agreement,41,Oncampusvawa222324.xls,4617,STALK22
198419001,2023,stalking,oncampus,42,42,numeric_agreement,41,Oncampusvawa222324.xls,4617,STALK23
198419001,2024,stalking,oncampus,44,44,numeric_agreement,41,Oncampusvawa222324.xls,4617,STALK24
198419001,2022,stalking,residential,11,11,numeric_agreement,41,Residencehallvawa222324.xls,4617,STALK22
198419001,2023,stalking,residential,15,15,numeric_agreement,41,Residencehallvawa222324.xls,4617,STALK23
198419001,2024,stalking,residential,15,15,numeric_agreement,41,Residencehallvawa222324.xls,4617,STALK24
198419001,2022,stalking,noncampus,6,6,numeric_agreement,41,Noncampusvawa222324.xls,4617,STALK22
198419001,2023,stalking,noncampus,8,8,numeric_agreement,41,Noncampusvawa222324.xls,4617,STALK23
198419001,2024,stalking,noncampus,3,3,numeric_agreement,41,Noncampusvawa222324.xls,4617,STALK24
198419001,2022,stalking,publicproperty,0,0,numeric_agreement,41,Publicpropertyvawa222324.xls,4617,STALK22
198419001,2023,stalking,publicproperty,0,0,numeric_agreement,41,Publicpropertyvawa222324.xls,4617,STALK23
198419001,2024,stalking,publicproperty,0,0,numeric_agreement,41,Publicpropertyvawa222324.xls,4617,STALK24
198419001,2022,domestic_violence,oncampus,26,26,numeric_agreement,41,Oncampusvawa222324.xls,4617,DOMEST22
198419001,2023,domestic_violence,oncampus,13,13,numeric_agreement,41,Oncampusvawa222324.xls,4617,DOMEST23
198419001,2024,domestic_violence,oncampus,20,20,numeric_agreement,41,Oncampusvawa222324.xls,4617,DOMEST24
198419001,2022,domestic_violence,residential,7,7,numeric_agreement,41,Residencehallvawa222324.xls,4617,DOMEST22
