Violation Type,Violation Section,Violation Description,classification,Charge Level,charge_rows,distinct_source_ids
PC,182(A)(1),CONSPIRACY:COMMIT CRIME (M),other,MISDEMEANOR,265,247
VC,23153(B),DUI .08 ALC:CAUSING BODILY INJ (F),other,FELONY,253,253
PC,647(E),DISORDERLY CONDUCT:LODGE WITHOUT CONSENT (M),other,MISDEMEANOR,251,212
PC,488,PETTY THEFT(from Veh) (M),other,MISDEMEANOR,250,247
PC,245A2,ADW:ASSAULT WITH FIREARM ON PERS (F),ambiguous_related,FELONY,245,244
VC,14601(A),DRVG WHILE LIC SUSP OR REVOKED (M),other,MISDEMEANOR,242,242
PC,487(A),GRAND THEFT (Theft From Building) (F),other,FELONY,239,233
HS,11366,KEEP PLACE TO SELL/ETC NARCOTIC CNTL SUBSTANCE (F),other,FELONY,236,233
PC,1551(A),FUGITIVE FROM JUSTICE:WARRANT ARREST (F),other,FELONY,231,231
PC,21510(B),CARRY SWITCHBLADE KNIFE ON PERSON (M),ambiguous_related,MISDEMEANOR,228,228
PC,69,THREATEN EXECUTIVE OFFICER WITH VIOLENCE (F),other,FELONY,227,227
PC,25400(A)(1),CARRY CONCEALED WEAPON IN VEHICLE (F),other,FELONY,224,220
PC,22610(A),FELON POSSESS/BUY/USE STUN GUN (M),other,MISDEMEANOR,220,220
PC,243B,BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL/ETC (M),ambiguous_related,MISDEMEANOR,211,211
PC,488,PETTY THEFT(from Building) (M),other,MISDEMEANOR,211,210
PC,647 (B)(2),DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),other,MISDEMEANOR,211,211
VC,2800.1(A),EVADING PEACE OFFICER (M),other,MISDEMEANOR,208,208
PC,530.5(C)(1),POSSESS PERSONAL IDENTIFYING INFO WITH INTENT TO DEFRAUD (M),other,MISDEMEANOR,207,202
PC,4573.8,POSS DRUGS/ALCOHOLIC BEVERAGE IN PRISON/JAIL (F),other,FELONY,205,201
PC,664/187(A),ATTEMPTED MURDER (F),other,FELONY,203,202
PC,135,DESTROY/CONCEAL EVIDENCE (M),other,MISDEMEANOR,201,201
PC,496(D),ATTEMPT TO COMMIT 496 PC:STOLEN PROP (F),other,FELONY,195,192
PC,186.22(B)(1),PROMOTE/ASSIST FELONY CRIMINAL STREET GANG (F),other,FELONY,195,189
VC,23103,RECKLESS DRVG:HWY (M),other,MISDEMEANOR,190,190
PC,529(A),FALSE PERSONATION OF ANOTHER:SPEC CIRC (F),other,FELONY,187,186
PC,602(M),TRESPASS:OCCUPY REAL PROPERTY W/O OWNER CONSENT (M),other,MISDEMEANOR,186,182
PC,470(D),FORGERY:FALSE CHECKS/RECORDS/CERTIFICATES (F),other,FELONY,185,183
PC,530.5(C)(3),POSSESS ID OF 10 OR MORE PERSONS WITH INTENT TO DEFRAUD (F),other,FELONY,180,176
PC,529(A)(3),PERSONATE TO MAKE OTHER LIABLE (F),other,FELONY,177,177
PC,4571,FELON ON PRISON/JAIL GROUNDS (F),other,FELONY,172,167
PC,487(A),GRAND THEFT (Theft From Mot Veh) (F),other,FELONY,172,166
PC,4574(A),SEND/BRING WEAP/TEAR GAS INTO PRISON/JAIL (F),other,FELONY,172,170
PC,476,MAKE/PASS/PUBLISH FICTITIOUS CHECK/BILL/NOTE (F),other,FELONY,170,168
PC,207(A),KIDNAPPING (F),ambiguous_related,FELONY,169,166
PC,236,FALSE IMPRISONMENT (M),ambiguous_related,MISDEMEANOR,168,168
PC,21510(A),POSSESS SWITCHBLADE IN VEHICLE (M),ambiguous_related,MISDEMEANOR,166,166
HS,11364,POSS CONTROLLED SUBS PARAPHERNALIA,other,MISDEMEANOR,162,150
PC,245(A)(4),ADW WITH FORCE:POSSIBLE GBI (M),ambiguous_related,FELONY,159,155
PC,186.22(A),PARTICIPATE IN CRIMINAL STREET GANG (F),other,FELONY,157,146
HS,11366.8(B),USE FALSE COMPARTMENT TO STORE CONT SUBS (F),other,FELONY,155,150
VC,20001(A),HIT AND RUN RESULTING IN DEATH OR INJURY(IBR 90Z),other,FELONY,154,154
PC,602(O),TRESPASS:REFUSE TO LEAVE PROPERTY:PEACE OFFICER REQUEST (M),other,MISDEMEANOR,151,145
VC,10855,EMBEZZLE LEASED/RENTED VEH (F),other,FELONY,151,151
PC,69(A),THREATEN EXECUTIVE OFFICER WITH VIOLENCE (F),other,FELONY,145,145
PC,25850(C)(1),CARRY LOADED FIREARM WITH PRIOR FELONY CONVICTION (F),other,FELONY,139,138
VC,23136,DUI:UNDER 21YR W/BA.01 (ZERO TOLERANCE) (I),other,INFRACTION,137,137
PC,32310(A),MANUFACTURE/SALE/POSSESS/ETC LARGE CAPACITY MAGAZINE (F),other,FELONY,132,128
HS,11375(B)(1),POSS FOR SALE DESIGNATED CONTROLLED SUBSTANCE (F),other,FELONY,130,126
PC,243(C)(2),BATTERY AGAINST POLICE OFFICER WITH MINOR INJURY (F),ambiguous_related,FELONY,126,126
PC,602(O),TRESPASS:REFUSE TO LEAVE PROPERTY:OWNER REQUEST (M),other,MISDEMEANOR,123,119
GC,8665,STATE OF EMERGENCY VIOLATION (M),other,MISDEMEANOR,123,123
PC,245A1,ASSAULT W/DEADLY WEAPON:NOT F/ARM (M),ambiguous_related,FELONY,122,120
HS,11377(A),POSSESS CONTROLLED SUBSTANCE,other,MISDEMEANOR,121,116
PC,29180(C),OWN F/ARM W/O SERIAL NUM (M),other,MISDEMEANOR,121,118
PC,32310(C),POSSESS LARGE CAPACITY MAGAZINE (M),other,MISDEMEANOR,120,120
VC,23140A,MINOR UNDER 21YR DRIVE W/BAC 0.05 (I),other,INFRACTION,119,119
PC,187A,MURDER (F),ambiguous_related,FELONY,118,118
PC,243.9A,BATTERY BY GASSING OF PO/DETENTION/INVEST/PROSECUTION EMP (F),ambiguous_related,FELONY,116,116
PC,21310,CARRY CONCEALED DIRK OR DAGGER (M),other,MISDEMEANOR,114,114
PC,314.1,INDECENT EXPOSURE (M),other,MISDEMEANOR,112,112
PC,646.9(B),STALKING:TEMPORARY RESTRAINING ORDER (F),ambiguous_related,FELONY,111,111
VC,23152C,ADDICT DRIVE VEH (M),other,MISDEMEANOR,109,109
PC,30605(A),ILLEGALLY POSSESS ANY ASSAULT WEAPON (F),other,FELONY,109,107
PC,459,BURGLARY (FOR PURPOSE OF FRAUD/FORGERY) (F),other,FELONY,109,107
PC,71,THREATEN SCHOOL/PUBLIC OFCR/EMPLOYEE (F),other,FELONY,109,109
PC,451D,ARSON:PROP (F),other,FELONY,108,108
PC,24610,MANUFACTURE/SALE/POSSESS UNDETECTABLE FIREARM (F),ambiguous_related,FELONY,105,105
PC,459,BURGLARY (SHOPLIFTING) (F),other,FELONY,104,104
PC,25400(A)(1),CARRY CONCEALED WEAPON IN VEHICLE (M),other,MISDEMEANOR,99,99
PC,470(A),FORGERY (F),other,FELONY,97,97
PC,288(A),LEWD OR LASCIVIOUS ACTS W/CHILD UNDER 14 YEARS (F),ambiguous_related,FELONY,96,96
VC,5200,TWO PLATES REQUIRED (I),other,INFRACTION,94,94
PC,215(A),CARJACKING (F),ambiguous_related,FELONY,91,90
PC,646.9(A),STALKING (F),ambiguous_related,FELONY,90,89
PC,647(B)(1),DISORDERLY CONDUCT: PROSTITUTION - SEX FOR COMPENSATION (M),other,MISDEMEANOR,88,87
PC,273.6(B),VIOL COURT ORDER TO PREVENT DOMESTIC VIOL W/PHYSICAL INJ (M),dv_labeled_order,MISDEMEANOR,88,88
BP,25658(A),SELL LIQUOR TO MINOR (M),other,MISDEMEANOR,87,86
PC,243(E)(1),BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,core_dv,MISDEMEANOR,87,87
PC,246.3,WILLFUL DISCHARGE OF FIREARM IN A GROSSLY NEGLIGENT MANNER (F),ambiguous_related,FELONY,87,86
PC,69(A),OBSTRUCT/RESIST EXECUTIVE OFFICER WITH SERIOUS INJURY (F),other,FELONY,87,86
HS,11360(A)(2),SELL/GIVE/TRANSPORT/ETC MARIJUANA - OVER 18 (M),other,MISDEMEANOR,86,85
PC,245C,ADW NOT A FIREARM ON P.O./FIREFIGHTER:GBI LIKELY (F),ambiguous_related,FELONY,86,86
PC,71(A)(1),THREATEN SCHOOL/PUBLIC OFCR/EMPLOYEE (F),other,FELONY,86,86
