cohort,label,unitid,campus_id,institution_name,opeid,branch,address,city,state,zip,reported_enrollment_men,reported_enrollment_women,reported_enrollment_total,filter_2022,filter_2023,filter_2024,candidate_first_campus_suffix001,housing_analysis_selection,source_file
Additional public,San Diego State,122409,122409002,San Diego State University,00115100,Imperial Valley Campus,720 HEBER AVE,CALEXICO,CA,92231,17570,23567,41137,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,San Diego State,122409,122409003,San Diego State University,00115100,San Diego State University Georgia,"5 Kostava Street, 3rd floor",Tbilisi,,0108,17570,23567,41137,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Georgia Tech,139755,139755001,Georgia Institute of Technology-Main Campus,00156900,Atlanta (Main) Campus,225 North Avenue NW,Atlanta,GA,30332,36169,17194,53363,1,1,1,1,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Georgia Tech,139755,139755002,Georgia Institute of Technology-Main Campus,00156900,Georgia Tech Savannah,210 Technology Circle,Savannah,GA,31407,36169,17194,53363,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Georgia Tech,139755,139755003,Georgia Institute of Technology-Main Campus,00156900,Georgia Tech Europe,2 Rue Marconi,Metz,,57070,36169,17194,53363,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Georgia Tech,139755,139755004,Georgia Institute of Technology-Main Campus,00156900,Georgia Tech Shenzhen,"6F, Building 6B, International Innovation Valley, Dashi 1st Rd",Shenzhen,,518055,36169,17194,53363,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Illinois Urbana-Champaign,145637,145637001,University of Illinois Urbana-Champaign,00177500,Main Campus,601 E John Street,Champaign,IL,61820,31825,27413,59238,1,1,1,1,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Illinois Urbana-Champaign,145637,145637003,University of Illinois Urbana-Champaign,00177500,Illini Center,200 S. Wacker Dr.,Chicago,IL,60606,31825,27413,59238,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Michigan Ann Arbor,170976,170976001,University of Michigan-Ann Arbor,00232500,Ann Arbor campus,1109 Geddes Ave,ANN ARBOR,MI,481091079,24997,27858,52855,1,1,1,1,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,North Carolina Chapel Hill,199120,199120001,University of North Carolina at Chapel Hill,00297400,The University of North Carolina at Chapel Hill,"CB 9100, 200 South Building UNC-Chapel Hill",CHAPEL HILL,NC,275999100,12821,19617,32438,1,1,1,1,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,North Carolina Chapel Hill,199120,199120002,University of North Carolina at Chapel Hill,00297400,The Institute for Marine Sciences,3431 Arendell St,Morehead City,NC,28557,12821,19617,32438,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,North Carolina Chapel Hill,199120,199120003,University of North Carolina at Chapel Hill,00297400,Kenan-Flagler Business School - Charlotte Campus,620 S. Tryon St.,Charlotte,NC,28202,12821,19617,32438,0,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Ohio State Columbus,204796,204796001,Ohio State University-Main Campus,00309000,Main Campus,190 N. OVAL MALL,COLUMBUS,OH,43210,29217,32226,61443,1,1,1,1,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Penn State University Park,214777,214777001,Pennsylvania State University-Main Campus,00332900,University Park Campus Penn State,201 OLD MAIN,UNIVERSITY PARK,PA,168021589,26611,24126,50737,1,1,1,1,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Penn State University Park,214777,214777002,Pennsylvania State University-Main Campus,00332900,Dickinson Law,150 South College St,Carlisle,PA,17013,26611,24126,50737,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Penn State University Park,214777,214777003,Pennsylvania State University-Main Campus,00332900,Hershey College of Medicine,700 HMC Crescent Road,Hershey,PA,17033,26611,24126,50737,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Texas Austin,228778,228778001,The University of Texas at Austin,00365800,The University of Texas at Austin,Main Building Suite 400,Austin,TX,78712,23614,30250,53864,1,1,1,1,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Texas Austin,228778,228778002,The University of Texas at Austin,00365800,J.J. Pickle Research Campus,10100 Burnet Road,Austin,TX,78758,23614,30250,53864,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Texas Austin,228778,228778003,The University of Texas at Austin,00365800,Marine Science Institute,750 Channel View Drive,Port Aransas,TX,78373,23614,30250,53864,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Texas Austin,228778,228778005,The University of Texas at Austin,00365800,Winedale Historical Complex,3738 FM 2714,Round Top,TX,789544901,23614,30250,53864,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Texas Austin,228778,228778007,The University of Texas at Austin,00365800,Wofford Denius UTLA Center,100 E. Tujunga Ave. Suite 200,Burbank,CA,91502,23614,30250,53864,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Texas Austin,228778,228778010,The University of Texas at Austin,00365800,LBJ Washington Center,1100 New York Ave NW,Washington,DC,20005,23614,30250,53864,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Texas Austin,228778,228778011,The University of Texas at Austin,00365800,UT in New York,"28 W 44th St, 15th Floor",New York,NY,10036,23614,30250,53864,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130001,University of Florida,00153500,University of Florida Gainesville - Main Campus,University of Florida,Gainesville,FL,32611,24863,31448,56311,1,1,1,1,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130002,University of Florida,00153500,UF Health Jacksonville,648 W 11th St.,Jacksonville,FL,32209,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130003,University of Florida,00153500,UF Research and Academic Center at Lake Nona,6550 Sanger Rd,Orlando,FL,32827,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
