unitid,institution,cohort,period,measure,category,geography,denominator_basis,reported_count,population_sum,years,rate_per_1000,rate_status,collection_year,interpretation
217156,Brown,ivy,2023,housingEnrollment,arson,residential,enrollment,0,11516,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,housingEnrollment,arson,residential,enrollment,3,11956,1,0.2509200401472064,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,residents,arson,residential,residents,1,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2023,residents,arson,residential,residents,0,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2024,residents,arson,residential,residents,3,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2022,enrollment,domestic_violence,oncampus,enrollment,1,11189,1,0.0893734918223255,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,enrollment,domestic_violence,oncampus,enrollment,12,11516,1,1.0420284821118444,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,enrollment,domestic_violence,oncampus,enrollment,6,11956,1,0.5018400802944128,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,housingEnrollment,domestic_violence,residential,enrollment,1,11189,1,0.0893734918223255,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,housingEnrollment,domestic_violence,residential,enrollment,11,11516,1,0.9551927752691907,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,housingEnrollment,domestic_violence,residential,enrollment,5,11956,1,0.4182000669120107,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,residents,domestic_violence,residential,residents,1,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2023,residents,domestic_violence,residential,residents,11,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2024,residents,domestic_violence,residential,residents,5,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2022,enrollment,dating_violence,oncampus,enrollment,6,11189,1,0.536240950933953,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,enrollment,dating_violence,oncampus,enrollment,4,11516,1,0.3473428273706148,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,enrollment,dating_violence,oncampus,enrollment,1,11956,1,0.08364001338240214,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,housingEnrollment,dating_violence,residential,enrollment,4,11189,1,0.357493967289302,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,housingEnrollment,dating_violence,residential,enrollment,2,11516,1,0.1736714136853074,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,housingEnrollment,dating_violence,residential,enrollment,1,11956,1,0.08364001338240214,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,residents,dating_violence,residential,residents,4,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2023,residents,dating_violence,residential,residents,2,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2024,residents,dating_violence,residential,residents,1,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2022,enrollment,stalking,oncampus,enrollment,12,11189,1,1.072481901867906,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,enrollment,stalking,oncampus,enrollment,8,11516,1,0.6946856547412296,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,enrollment,stalking,oncampus,enrollment,9,11956,1,0.7527601204416192,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,housingEnrollment,stalking,residential,enrollment,4,11189,1,0.357493967289302,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2023,housingEnrollment,stalking,residential,enrollment,1,11516,1,0.0868357068426537,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2024,housingEnrollment,stalking,residential,enrollment,5,11956,1,0.4182000669120107,available,2025,Reported offenses relative to enrolled population; not victimization probability
217156,Brown,ivy,2022,residents,stalking,residential,residents,4,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2023,residents,stalking,residential,residents,1,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
217156,Brown,ivy,2024,residents,stalking,residential,residents,5,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,2022,enrollment,criminal_total,oncampus,enrollment,41,2401,1,17.076218242399,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2023,enrollment,criminal_total,oncampus,enrollment,32,2463,1,12.992285830288266,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2024,enrollment,criminal_total,oncampus,enrollment,30,2430,1,12.345679012345679,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2022,housingEnrollment,criminal_total,residential,enrollment,36,2401,1,14.993752603082049,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2023,housingEnrollment,criminal_total,residential,enrollment,9,2463,1,3.6540803897685747,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2024,housingEnrollment,criminal_total,residential,enrollment,7,2430,1,2.880658436213992,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2022,residents,criminal_total,residential,residents,36,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,2023,residents,criminal_total,residential,residents,9,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,2024,residents,criminal_total,residential,residents,7,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,2022,enrollment,rape,oncampus,enrollment,5,2401,1,2.0824656393169514,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2023,enrollment,rape,oncampus,enrollment,3,2463,1,1.218026796589525,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2024,enrollment,rape,oncampus,enrollment,1,2430,1,0.411522633744856,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2022,housingEnrollment,rape,residential,enrollment,5,2401,1,2.0824656393169514,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2023,housingEnrollment,rape,residential,enrollment,2,2463,1,0.8120178643930166,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2024,housingEnrollment,rape,residential,enrollment,0,2430,1,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,2022,residents,rape,residential,residents,5,,1,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
