unitid,institution,cohort,period,measure,category,geography,denominator_basis,reported_count,population_sum,years,rate_per_1000,rate_status,collection_year,interpretation
110404,Caltech,private,pooled,housingEnrollment,dating_violence,residential,enrollment,5,7294,3,0.6854949273375377,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,pooled,residents,dating_violence,residential,residents,5,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
110404,Caltech,private,pooled,enrollment,stalking,oncampus,enrollment,29,7294,3,3.9758705785577186,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,pooled,housingEnrollment,stalking,residential,enrollment,18,7294,3,2.4677817384151357,available,2025,Reported offenses relative to enrolled population; not victimization probability
110404,Caltech,private,pooled,residents,stalking,residential,residents,18,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
211440,Carnegie Mellon,private,pooled,enrollment,criminal_total,oncampus,enrollment,32,47486,3,0.6738828286231732,available,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,housingEnrollment,criminal_total,residential,enrollment,,47486,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,residents,criminal_total,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
211440,Carnegie Mellon,private,pooled,enrollment,rape,oncampus,enrollment,16,47486,3,0.3369414143115866,available,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,housingEnrollment,rape,residential,enrollment,,47486,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,residents,rape,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
211440,Carnegie Mellon,private,pooled,enrollment,fondling,oncampus,enrollment,10,47486,3,0.2105883839447416,available,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,housingEnrollment,fondling,residential,enrollment,,47486,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,residents,fondling,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
211440,Carnegie Mellon,private,pooled,enrollment,incest,oncampus,enrollment,0,47486,3,0.0,available,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,housingEnrollment,incest,residential,enrollment,,47486,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
211440,Carnegie Mellon,private,pooled,residents,incest,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
