year,county,agency_name,jurisdiction_code,months_present,months_absent,total_calls,weapons_involved,sub_firearm,sub_knife,sub_other,sub_personal,weapon_not_rpt,total_strang_suffo,sub_strangulation,sub_suffocation,strangulation_months_with_data,known_partial_months,coverage_note,unit
2004,San Diego County,Chula Vista,3702,12,,1818,1261,7,36,199,1019,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2004,San Diego County,Colorado Desert DPR,3722,7,6;7;8;9;12,0,0,0,0,0,0,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2004,San Diego County,Coronado,3703,12,,58,23,0,2,3,18,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2004,San Diego County,Del Mar,3704,10,8;9,14,10,0,1,0,9,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2004,San Diego County,El Cajon,3705,12,,672,418,4,15,57,342,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2004,San Diego County,Encinitas,37A4,12,,208,184,0,3,21,160,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2004,San Diego County,Escondido,3706,12,,898,813,4,25,61,723,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2004,San Diego County,Imperial Beach,3707,12,,297,265,3,3,21,238,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2004,San Diego County,La Mesa,3708,12,,365,330,4,8,38,280,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2004,San Diego County,Lemon Grove,37A1,12,,191,172,2,4,15,151,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2004,San Diego County,National City,3709,12,,624,517,3,13,74,427,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2004,San Diego County,Oceanside,3710,12,,2070,1027,3,35,107,882,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2004,San Diego County,Ocotillo Wells DPR,3724,6,6;8;9;10;11;12,0,0,0,0,0,0,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2004,San Diego County,Poway,37A3,12,,204,183,0,3,18,162,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2004,San Diego County,San Diego,3711,12,,10033,8013,49,321,1480,6163,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2004,San Diego County,San Diego Co. Sheriff's Department,3700,12,,2221,2033,12,49,218,1754,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2004,San Diego County,San Diego Coast DPR,3725,6,2;6;8;9;11;12,4,2,0,1,0,1,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2004,San Diego County,San Diego Harbor,3715,11,11,0,0,0,0,0,0,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2004,San Diego County,San Marcos,3712,12,,359,313,3,9,42,259,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2004,San Diego County,Santee,37A2,12,,322,283,1,4,29,249,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2004,San Diego County,Solana Beach,37A5,12,,34,32,0,1,4,27,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2004,San Diego County,UC San Diego,3797,12,,19,11,0,0,3,8,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2004,San Diego County,Vista,3713,12,,557,528,3,9,55,461,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2005,San Diego County,CA Highway Patrol - San Diego,3799,4,2;3;4;8;9;10;11;12,6,6,0,0,0,6,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2005,San Diego County,CSU San Diego,3714,8,6;8;11;12,13,1,0,0,0,1,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2005,San Diego County,CSU San Marcos,3732,2,1;3;4;5;6;7;8;9;10;12,2,0,0,0,0,0,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2005,San Diego County,Carlsbad,3701,12,,372,239,0,4,39,196,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2005,San Diego County,Chula Vista,3702,12,,1972,1300,7,41,161,1091,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2005,San Diego County,Colorado Desert DPR,3722,9,3;7;10,0,0,0,0,0,0,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2005,San Diego County,Coronado,3703,12,,54,5,0,1,3,1,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2005,San Diego County,Del Mar,3704,10,4;8,22,21,0,0,3,18,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2005,San Diego County,El Cajon,3705,12,,732,438,2,13,61,362,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2005,San Diego County,Encinitas,37A4,12,,176,165,1,1,25,138,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2005,San Diego County,Escondido,3706,12,,961,850,7,28,75,740,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
2005,San Diego County,Imperial Beach,3707,12,,220,200,0,5,20,175,0,,,,0,,No completeness guarantee; row presence is not complete reporting,Reported DV-related calls; no imputation
