unitid,institution,period,category,measure,geography,reported_count,population_sum,years,rate_per_1000,source_editions,source_basis
139755,Georgia Tech,2025,statutory_rape,housingEnrollment,residential,,,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,pooled,statutory_rape,residents,residential,,,3,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,pooled,statutory_rape,enrollment,oncampus,,146605,3,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,pooled,statutory_rape,housingEnrollment,residential,,146605,3,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2022,murder,residents,residential,,,1,,,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2022,murder,enrollment,oncampus,,45296,1,,,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2022,murder,housingEnrollment,residential,,45296,1,,,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2023,murder,residents,residential,,,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2023,murder,enrollment,oncampus,,47946,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2023,murder,housingEnrollment,residential,,47946,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2024,murder,residents,residential,,,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2024,murder,enrollment,oncampus,,53363,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2024,murder,housingEnrollment,residential,,53363,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2025,murder,residents,residential,,,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2025,murder,enrollment,oncampus,,,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2025,murder,housingEnrollment,residential,,,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,pooled,murder,residents,residential,,,3,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,pooled,murder,enrollment,oncampus,,146605,3,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,pooled,murder,housingEnrollment,residential,,146605,3,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2022,negligent_manslaughter,residents,residential,,,1,,,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2022,negligent_manslaughter,enrollment,oncampus,,45296,1,,,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2022,negligent_manslaughter,housingEnrollment,residential,,45296,1,,,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2023,negligent_manslaughter,residents,residential,,,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2023,negligent_manslaughter,enrollment,oncampus,,47946,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2023,negligent_manslaughter,housingEnrollment,residential,,47946,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2024,negligent_manslaughter,residents,residential,,,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2024,negligent_manslaughter,enrollment,oncampus,,53363,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2024,negligent_manslaughter,housingEnrollment,residential,,53363,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2025,negligent_manslaughter,residents,residential,,,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2025,negligent_manslaughter,enrollment,oncampus,,,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2025,negligent_manslaughter,housingEnrollment,residential,,,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,pooled,negligent_manslaughter,residents,residential,,,3,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,pooled,negligent_manslaughter,enrollment,oncampus,,146605,3,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,pooled,negligent_manslaughter,housingEnrollment,residential,,146605,3,,2026,Institutional reports checked 2026-09-25; cell-specific editions
