period,zip_code,variable,n,changed_more_than_1e_7_f,bias_f,mae_f,max_abs_f
full,92114,low,2741,121,-0.03378329076979208,0.03808828894564031,6.5
full,92115,low,2741,105,-0.033491426486683705,0.03655600145932142,6.300000000000004
full,92123,low,2741,107,-0.033856256840569116,0.03684786574242976,6.299999999999997
full,92127,low,2741,99,-0.02663261583363735,0.02918642831083545,3.1000000000000014
full,92154,low,2741,133,-0.03334549434512952,0.03692083181320688,5.299999999999997
full,92173,low,2741,129,-0.03268879970813573,0.03983947464429041,6.0
primary_2021_2024,91901,high,1461,2,0.00027378507871320915,0.00041067761806981616,0.5
primary_2021_2024,91902,high,1461,2,-6.844626967830351e-05,0.0007529089664613289,0.6000000000000014
primary_2021_2024,91905,high,1461,1,-0.0005475701574264232,0.0005475701574264232,0.8000000000000043
primary_2021_2024,91906,high,1461,2,-0.0005475701574264232,0.0009582477754962345,1.1000000000000014
primary_2021_2024,91910,high,1461,2,6.844626967830351e-05,0.0004791238877481148,0.3999999999999986
primary_2021_2024,91911,high,1461,2,0.0,0.0005475701574264183,0.3999999999999986
primary_2021_2024,91917,high,1461,2,0.00034223134839151266,0.00047912388774811967,0.6000000000000014
primary_2021_2024,91932,high,1461,2,6.844626967830351e-05,0.0006160164271047219,0.5
primary_2021_2024,91935,high,1461,2,0.0003422313483915078,0.0007529089664613289,0.7999999999999972
primary_2021_2024,91941,high,1461,2,6.844626967830351e-05,0.0006160164271047219,0.5
primary_2021_2024,91942,high,1461,2,6.844626967830351e-05,0.0006160164271047219,0.5
primary_2021_2024,91945,high,1461,2,-6.844626967830351e-05,0.0007529089664613289,0.6000000000000014
primary_2021_2024,91950,high,1461,2,-0.00013689253935660701,0.0006844626967830253,0.6000000000000014
primary_2021_2024,91962,high,1461,2,-0.0013689253935660506,0.0013689253935660506,1.5
primary_2021_2024,91977,high,1461,2,-6.844626967829864e-05,0.000752908966461324,0.5999999999999943
primary_2021_2024,91978,high,1461,3,0.0,0.0009582477754962393,0.7000000000000028
primary_2021_2024,91980,high,1461,1,0.0005475701574264183,0.0005475701574264183,0.7999999999999972
primary_2021_2024,92003,high,1461,2,-0.0010951403148528416,0.0010951403148528416,0.8999999999999986
primary_2021_2024,92004,high,1461,3,-0.0016427104722792647,0.0016427104722792647,1.0
primary_2021_2024,92007,high,1461,2,4.863399970979467e-18,0.00027378507871320915,0.20000000000000284
primary_2021_2024,92008,high,1461,1,-0.00034223134839151266,0.00034223134839151266,0.5
primary_2021_2024,92009,high,1461,0,0.0,0.0,0.0
primary_2021_2024,92011,high,1461,1,-0.00027378507871320915,0.00027378507871320915,0.3999999999999986
primary_2021_2024,92014,high,1461,2,-6.844626967830351e-05,0.00034223134839151754,0.30000000000000426
primary_2021_2024,92019,high,1461,2,6.844626967830351e-05,0.0007529089664613289,0.6000000000000014
primary_2021_2024,92020,high,1461,2,0.0,0.0006844626967830253,0.5
primary_2021_2024,92021,high,1461,2,0.0,0.0006844626967830253,0.5
primary_2021_2024,92024,high,1461,2,0.0,0.00027378507871320427,0.19999999999999574
primary_2021_2024,92025,high,1461,1,-6.844626967829864e-05,6.844626967829864e-05,0.09999999999999432
primary_2021_2024,92026,high,1461,0,0.0,0.0,0.0
primary_2021_2024,92027,high,1461,1,-6.844626967830351e-05,6.844626967830351e-05,0.10000000000000142
primary_2021_2024,92028,high,1461,1,-0.00020533880903491052,0.00020533880903491052,0.30000000000000426
primary_2021_2024,92029,high,1461,0,0.0,0.0,0.0
primary_2021_2024,92036,high,1461,2,-0.00041067761806981616,0.00041067761806981616,0.5
primary_2021_2024,92040,high,1461,1,0.00020533880903490564,0.00020533880903490564,0.29999999999999716
primary_2021_2024,92054,high,1461,1,-0.00041067761806981616,0.00041067761806981616,0.6000000000000014
primary_2021_2024,92056,high,1461,1,-0.00027378507871320915,0.00027378507871320915,0.3999999999999986
primary_2021_2024,92057,high,1461,1,-0.0008213552361396323,0.0008213552361396323,1.2000000000000028
primary_2021_2024,92058,high,1461,1,-0.0007529089664613289,0.0007529089664613289,1.1000000000000014
primary_2021_2024,92059,high,1461,1,-6.844626967830351e-05,6.844626967830351e-05,0.10000000000000142
primary_2021_2024,92061,high,1461,2,-0.0005475701574264232,0.0005475701574264232,0.6000000000000014
primary_2021_2024,92064,high,1461,1,6.844626967830351e-05,6.844626967830351e-05,0.10000000000000142
primary_2021_2024,92065,high,1461,2,-0.0007529089664613289,0.0007529089664613289,0.6000000000000014
primary_2021_2024,92069,high,1461,1,-0.00013689253935660701,0.00013689253935660701,0.20000000000000284
primary_2021_2024,92071,high,1461,1,0.00027378507871321403,0.00027378507871321403,0.4000000000000057
primary_2021_2024,92075,high,1461,2,0.0,0.00027378507871321403,0.20000000000000284
primary_2021_2024,92078,high,1461,0,0.0,0.0,0.0
primary_2021_2024,92081,high,1461,1,-0.00013689253935660701,0.00013689253935660701,0.20000000000000284
primary_2021_2024,92082,high,1461,2,-0.0005475701574264183,0.0005475701574264183,0.6000000000000014
primary_2021_2024,92083,high,1461,1,-0.00013689253935660214,0.00013689253935660214,0.19999999999999574
primary_2021_2024,92084,high,1461,1,-0.00013689253935660701,0.00013689253935660701,0.20000000000000284
primary_2021_2024,92101,high,1461,2,-6.844626967829864e-05,0.0006160164271047266,0.5
primary_2021_2024,92102,high,1461,2,-0.00013689253935660701,0.0006844626967830253,0.6000000000000014
primary_2021_2024,92103,high,1461,2,-6.844626967830351e-05,0.0004791238877481148,0.3999999999999986
primary_2021_2024,92105,high,1461,2,-0.00013689253935659728,0.0006844626967830253,0.5999999999999943
