outcome,temperature_f,reference_f,count_ratio,ci95_low,ci95_high,within_pooled_1_99pct,interval
core,72.46124999999999,70,1.0282229532314016,1.0026209924207274,1.0544786609736743,True,pointwise nominal 95%; exploratory
core,73.0575,70,1.034961408188569,1.0032804387733416,1.0676427796691608,True,pointwise nominal 95%; exploratory
core,73.65375,70,1.041515037426095,1.0039425748207185,1.0804936461414565,True,pointwise nominal 95%; exploratory
core,74.25,70,1.0478090902795831,1.004600902824833,1.0928756748927224,True,pointwise nominal 95%; exploratory
core,74.84625,70,1.0537672791178765,1.0052452842783692,1.1046313729654833,True,pointwise nominal 95%; exploratory
core,75.4425,70,1.059314858861814,1.0058603842251623,1.1156100665698667,True,pointwise nominal 95%; exploratory
core,76.03875,70,1.0644239142105514,1.0064246888998865,1.1257655755462253,True,pointwise nominal 95%; exploratory
core,76.63499999999999,70,1.0691062077034557,1.0069133114570097,1.1351405035018893,True,pointwise nominal 95%; exploratory
core,77.23124999999999,70,1.0733755333185089,1.0072997848564809,1.1437856463862428,True,pointwise nominal 95%; exploratory
core,77.8275,70,1.0772464904900034,1.0075565069071812,1.1517567434854883,True,pointwise nominal 95%; exploratory
core,78.42375,70,1.0807344196664472,1.007655170366135,1.1591136732096363,True,pointwise nominal 95%; exploratory
core,79.02,70,1.083855338932123,1.0075672534440387,1.165919586723561,True,pointwise nominal 95%; exploratory
core,79.61625,70,1.0866258820344394,1.0072645934603996,1.1722399607542096,True,pointwise nominal 95%; exploratory
core,80.0,70,1.0882316901467464,1.0069435031252936,1.1760820818288638,True,pointwise nominal 95%; exploratory
core,80.21249999999999,70,1.0890632381326966,1.006720046772549,1.1781415701956752,True,pointwise nominal 95%; exploratory
core,80.80875,70,1.0911850935571719,1.0059082217956041,1.1836913970898189,True,pointwise nominal 95%; exploratory
core,81.405,70,1.0930095758408005,1.0048062571372864,1.188955506988308,True,pointwise nominal 95%; exploratory
core,82.00125,70,1.0945552002594607,1.003394604222262,1.193997935980178,True,pointwise nominal 95%; exploratory
