zip_code,station,station_name,distance_km,absolute_elevation_difference_m,modeled,matched_zip_days,mean_modeled_minus_observed_f,mean_absolute_difference_f,rmse_f,correlation
92021,USC00042706,EL CAJON,6.343449113751035,99.1,legacy_high_f,1461,-3.651868583162217,3.865119780971937,4.357728719106134,0.976092892819329
92021,USC00042706,EL CAJON,6.343449113751035,99.1,civil_high_f,1461,-3.651868583162217,3.865119780971937,4.357865366715083,0.9760885644058903
92024,USW00003177,CARLSBAD MCCLELLAN PALOMAR AP,8.318813647245042,27.400000000000006,legacy_high_f,1436,-0.7909470752089139,2.44050139275766,3.2069494525306057,0.9078842879859613
92024,USW00003177,CARLSBAD MCCLELLAN PALOMAR AP,8.318813647245042,27.400000000000006,civil_high_f,1436,-0.7909470752089139,2.44050139275766,3.2070241501618675,0.9078811998161262
92025,USC00042863,ESCONDIDO #2,7.15744446016342,77.9,legacy_high_f,1460,-3.5552465753424656,3.947712328767124,4.551981805341975,0.9666507681505317
92025,USC00042863,ESCONDIDO #2,7.15744446016342,77.9,civil_high_f,1460,-3.555315068493151,3.9477808219178083,4.552030105589349,0.9666515007341069
92026,USC00049226,VALLEY CTR 1N,8.152154003591539,53.19999999999999,legacy_high_f,1458,-6.383429355281208,6.4654046639231835,7.157417747105751,0.9735742351155745
92026,USC00049226,VALLEY CTR 1N,8.152154003591539,53.19999999999999,civil_high_f,1458,-6.383429355281208,6.4654046639231835,7.157417747105751,0.9735742351155745
92028,USW00053151,FALLBROOK 5 NE,6.687843837165362,58.5,legacy_high_f,1456,-3.5169642857142858,3.7597115384615387,4.309705345477248,0.9771548488588453
92028,USW00053151,FALLBROOK 5 NE,6.687843837165362,58.5,civil_high_f,1456,-3.51717032967033,3.759752747252748,4.309706779755732,0.9771608052994913
92029,USC00042863,ESCONDIDO #2,5.064973365651512,36.099999999999994,legacy_high_f,1460,-6.5900410958904105,6.661739726027397,7.099371089259506,0.9716704618307429
92029,USC00042863,ESCONDIDO #2,5.064973365651512,36.099999999999994,civil_high_f,1460,-6.5900410958904105,6.661739726027397,7.099371089259506,0.9716704618307429
92037,USC00047741,SAN DIEGO SEAWORLD,10.115169199122768,9.7,legacy_high_f,1460,2.3030136986301373,3.207150684931507,4.051876210093025,0.9198793521335957
92054,USW00053121,OCEANSIDE MUNI AP,3.071463543480813,6.9,legacy_high_f,1455,-2.286103092783505,3.241539518900344,3.823210935283339,0.9294381863657484
92054,USW00053121,OCEANSIDE MUNI AP,3.071463543480813,6.9,civil_high_f,1455,-2.286515463917526,3.2419518900343647,3.8239313715102967,0.9294282939972593
92056,USW00053121,OCEANSIDE MUNI AP,5.2260967700776755,101.9,legacy_high_f,1455,-1.5281649484536086,3.5332233676975946,4.178359105078998,0.9156554264120705
92056,USW00053121,OCEANSIDE MUNI AP,5.2260967700776755,101.9,civil_high_f,1455,-1.5284398625429554,3.533498281786942,4.17893016447842,0.9156478931551473
92057,USC00049378,VISTA,5.216065177142804,102.1,legacy_high_f,1460,0.24993150684931476,2.5037945205479457,3.1138549864616896,0.951425055814126
92057,USC00049378,VISTA,5.216065177142804,102.1,civil_high_f,1460,0.24910958904109554,2.5046164383561647,3.115021449386342,0.9514101035096374
92058,USW00053121,OCEANSIDE MUNI AP,4.977503606678849,69.9,legacy_high_f,1455,0.26606185567010315,3.7303917525773196,4.539700582039574,0.9040612461592046
92058,USW00053121,OCEANSIDE MUNI AP,4.977503606678849,69.9,civil_high_f,1455,0.2653058419243987,3.7311477663230237,4.54103765182876,0.9040450909816179
92059,USW00053151,FALLBROOK 5 NE,14.286253078198758,7.5,legacy_high_f,1456,-1.8919642857142855,3.013118131868132,3.6262045743979496,0.9709255614292484
92059,USW00053151,FALLBROOK 5 NE,14.286253078198758,7.5,civil_high_f,1456,-1.8920329670329672,3.0131868131868136,3.626260447784306,0.970926125425626
92060,USC00046657,PALOMAR MTN OBSY,3.8283611679628518,37.59999999999991,legacy_high_f,1356,-1.4661651917404128,2.808761061946903,3.528780865296149,0.9829662807618756
92064,USC00047248,RANCHO BERNARDO,7.569372535590842,86.69999999999999,legacy_high_f,1460,-1.2350547945205481,2.7197945205479455,3.293313815962724,0.9607187105201539
92064,USC00047248,RANCHO BERNARDO,7.569372535590842,86.69999999999999,civil_high_f,1460,-1.2349863013698632,2.7197260273972605,3.293254126198892,0.9607179158939637
92065,USW00053120,RAMONA AP,8.022752268440195,76.89999999999998,legacy_high_f,1455,-2.7642886597938143,3.1565635738831617,3.6101146948491314,0.9835854618830914
92065,USW00053120,RAMONA AP,8.022752268440195,76.89999999999998,civil_high_f,1455,-2.7650446735395193,3.1573195876288658,3.61052988467205,0.9835909211892744
92067,USC00047248,RANCHO BERNARDO,10.157785970638512,136.3,legacy_high_f,1460,-3.2861506849315067,3.491109589041096,4.1202594345768055,0.9660385067262167
92069,USC00042863,ESCONDIDO #2,8.715419002709853,25.099999999999994,legacy_high_f,1460,-7.171,7.212808219178083,7.6444499519908655,0.9719377078169888
92069,USC00042863,ESCONDIDO #2,8.715419002709853,25.099999999999994,civil_high_f,1460,-7.17113698630137,7.212945205479453,7.644613019583011,0.9719337473875008
92071,USC00042706,EL CAJON,8.39405436222538,28.900000000000006,legacy_high_f,1461,-3.5578918548939082,3.7541409993155375,4.2338325736222435,0.9760055758980133
92071,USC00042706,EL CAJON,8.39405436222538,28.900000000000006,civil_high_f,1461,-3.557618069815195,3.7538672142368243,4.233766613773623,0.9759996766411156
92075,USW00003177,CARLSBAD MCCLELLAN PALOMAR AP,14.834783913576356,44.400000000000006,legacy_high_f,1436,-0.590947075208914,2.416518105849582,3.163565387502333,0.9078842879859613
92075,USW00003177,CARLSBAD MCCLELLAN PALOMAR AP,14.834783913576356,44.400000000000006,civil_high_f,1436,-0.590947075208914,2.416518105849582,3.1636411094872763,0.9078811998161262
92078,USC00042863,ESCONDIDO #2,8.468734889567973,119.1,legacy_high_f,1460,-9.693534246575343,9.700493150684933,10.180719489066993,0.9679740841972936
92078,USC00042863,ESCONDIDO #2,8.468734889567973,119.1,civil_high_f,1460,-9.693534246575343,9.700493150684933,10.180719489066993,0.9679740841972936
92081,USW00003177,CARLSBAD MCCLELLAN PALOMAR AP,5.0890320089226035,27.599999999999994,legacy_high_f,1436,3.5198467966573816,4.9292618384401115,6.201268155865143,0.8785971026155273
92081,USW00003177,CARLSBAD MCCLELLAN PALOMAR AP,5.0890320089226035,27.599999999999994,civil_high_f,1436,3.519707520891364,4.9294011142061285,6.201425817721433,0.8785923690010933
92082,USC00049226,VALLEY CTR 1N,4.690976817453813,153.8,legacy_high_f,1458,-4.735829903978052,4.889465020576131,5.562186709168825,0.9738697139884523
92082,USC00049226,VALLEY CTR 1N,4.690976817453813,153.8,civil_high_f,1458,-4.736378600823046,4.890013717421125,5.562564516972992,0.9738747547669638
92083,USC00049378,VISTA,4.402952508548332,31.099999999999994,legacy_high_f,1460,-0.12219178082191787,2.7161095890410962,3.2872990953768957,0.9479452300824588
92083,USC00049378,VISTA,4.402952508548332,31.099999999999994,civil_high_f,1460,-0.12232876712328773,2.716246575342466,3.2875416138831914,0.9479420007778908
