zip_code,station,station_name,distance_km,absolute_elevation_difference_m,eligible_station_match,station_network
92011,USW00003177,CARLSBAD MCCLELLAN PALOMAR AP,3.1811442713286415,8.400000000000006,True,expanded_ghcn
92014,USC00047248,RANCHO BERNARDO,17.04694244538734,203.3,False,expanded_ghcn
92019,USC00042706,EL CAJON,5.824803920712067,5.900000000000006,True,expanded_ghcn
92020,USC00042706,EL CAJON,3.9327647554807825,18.900000000000006,True,expanded_ghcn
92021,USC00042706,EL CAJON,6.343449113751035,99.1,True,expanded_ghcn
92024,USW00003177,CARLSBAD MCCLELLAN PALOMAR AP,8.318813647245042,27.400000000000006,True,expanded_ghcn
92025,USC00042863,ESCONDIDO #2,7.15744446016342,77.9,True,expanded_ghcn
92026,USC00049226,VALLEY CTR 1N,8.152154003591539,53.19999999999999,True,expanded_ghcn
92027,USC00042863,ESCONDIDO #2,10.593217680483383,323.1,False,expanded_ghcn
92028,USW00053151,FALLBROOK 5 NE,6.687843837165362,58.5,True,expanded_ghcn
92029,USC00042863,ESCONDIDO #2,5.064973365651512,36.099999999999994,True,expanded_ghcn
92036,USC00046386,OCOTILLO WELLS 2W,16.344909729090862,756.1,False,expanded_ghcn
92037,USC00047741,SAN DIEGO SEAWORLD,10.115169199122768,9.7,True,expanded_ghcn
92040,USC00042706,EL CAJON,12.507394892331739,327.1,False,expanded_ghcn
92054,USW00053121,OCEANSIDE MUNI AP,3.071463543480813,6.9,True,expanded_ghcn
92055,USC00046377,OCEANSIDE MARINA,22.685653354467945,278.0,False,expanded_ghcn
92056,USW00053121,OCEANSIDE MUNI AP,5.2260967700776755,101.9,True,expanded_ghcn
92057,USC00049378,VISTA,5.216065177142804,102.1,True,expanded_ghcn
92058,USW00053121,OCEANSIDE MUNI AP,4.977503606678849,69.9,True,expanded_ghcn
92059,USW00053151,FALLBROOK 5 NE,14.286253078198758,7.5,True,expanded_ghcn
92060,USC00046657,PALOMAR MTN OBSY,3.8283611679628518,37.59999999999991,True,expanded_ghcn
92061,USC00046657,PALOMAR MTN OBSY,12.060487506055841,1152.6,False,expanded_ghcn
92064,USC00047248,RANCHO BERNARDO,7.569372535590842,86.69999999999999,True,expanded_ghcn
92065,USW00053120,RAMONA AP,8.022752268440195,76.89999999999998,True,expanded_ghcn
92066,USC00040983,BORREGO DESERT PARK,13.092871173725692,958.1,False,expanded_ghcn
92067,USC00047248,RANCHO BERNARDO,10.157785970638512,136.3,True,expanded_ghcn
92069,USC00042863,ESCONDIDO #2,8.715419002709853,25.099999999999994,True,expanded_ghcn
92070,USC00043914,HENSHAW DAM,5.663539011657825,513.0,False,expanded_ghcn
92071,USC00042706,EL CAJON,8.39405436222538,28.900000000000006,True,expanded_ghcn
92075,USW00003177,CARLSBAD MCCLELLAN PALOMAR AP,14.834783913576356,44.400000000000006,True,expanded_ghcn
92078,USC00042863,ESCONDIDO #2,8.468734889567973,119.1,True,expanded_ghcn
92081,USW00003177,CARLSBAD MCCLELLAN PALOMAR AP,5.0890320089226035,27.599999999999994,True,expanded_ghcn
92082,USC00049226,VALLEY CTR 1N,4.690976817453813,153.8,True,expanded_ghcn
92083,USC00049378,VISTA,4.402952508548332,31.099999999999994,True,expanded_ghcn
92084,USC00049378,VISTA,3.11722288095838,197.9,True,expanded_ghcn
92086,USC00043914,HENSHAW DAM,14.93965864085851,234.0,False,expanded_ghcn
92091,USC00047248,RANCHO BERNARDO,10.050795574737744,94.30000000000001,True,expanded_ghcn
92093,USW00003131,SAN DIEGO MONTGOMERY FLD,11.96822880898592,20.400000000000006,True,expanded_ghcn
92096,USC00042863,ESCONDIDO #2,6.213978544273912,56.099999999999994,True,expanded_ghcn
92101,USW00023188,SAN DIEGO INTL AP,2.0360291796382533,4.4,True,expanded_ghcn
92102,USW00023188,SAN DIEGO INTL AP,6.442192122489889,22.4,True,expanded_ghcn
92103,USW00023188,SAN DIEGO INTL AP,2.1618730515112543,78.4,True,expanded_ghcn
92104,USW00023188,SAN DIEGO INTL AP,5.253377380989661,98.4,True,expanded_ghcn
92105,USW00023188,SAN DIEGO INTL AP,8.753018972921133,91.4,True,expanded_ghcn
92106,USW00093112,N IS NAS,3.287632894068977,11.7,True,expanded_ghcn
92107,USC00047741,SAN DIEGO SEAWORLD,3.1986905713259013,54.7,True,expanded_ghcn
92108,USW00003131,SAN DIEGO MONTGOMERY FLD,4.520433701808242,97.4,True,expanded_ghcn
92109,USC00047741,SAN DIEGO SEAWORLD,2.401956831291849,7.7,True,expanded_ghcn
92110,USC00047741,SAN DIEGO SEAWORLD,2.899448468045592,2.7,True,expanded_ghcn
92111,USW00003131,SAN DIEGO MONTGOMERY FLD,3.0696531296995793,31.400000000000006,True,expanded_ghcn
92113,USC00041758,CHULA VISTA,6.856582822497727,6.100000000000001,True,expanded_ghcn
92114,USC00041758,CHULA VISTA,8.05642402865292,95.9,True,expanded_ghcn
92115,USW00003131,SAN DIEGO MONTGOMERY FLD,8.493236359609218,8.599999999999994,True,expanded_ghcn
92116,USW00003131,SAN DIEGO MONTGOMERY FLD,5.6721961601887445,4.400000000000006,True,expanded_ghcn
92117,USW00003131,SAN DIEGO MONTGOMERY FLD,5.929580620554453,25.400000000000006,True,expanded_ghcn
92118,USW00093112,N IS NAS,0.7354059004598785,0.2999999999999998,True,expanded_ghcn
92119,USW00003131,SAN DIEGO MONTGOMERY FLD,9.870684456140454,227.6,False,expanded_ghcn
92120,USW00003131,SAN DIEGO MONTGOMERY FLD,6.371638009399796,26.400000000000006,True,expanded_ghcn
92121,USW00003131,SAN DIEGO MONTGOMERY FLD,10.97781313954931,40.400000000000006,True,expanded_ghcn
92122,USW00003131,SAN DIEGO MONTGOMERY FLD,8.26472072582296,26.400000000000006,True,expanded_ghcn
92123,USW00003131,SAN DIEGO MONTGOMERY FLD,0.6149374892285786,1.4000000000000057,True,expanded_ghcn
92124,USW00003131,SAN DIEGO MONTGOMERY FLD,5.118689775534446,29.599999999999994,True,expanded_ghcn
92126,USW00003131,SAN DIEGO MONTGOMERY FLD,10.86559552691788,5.599999999999994,True,expanded_ghcn
92127,USC00047248,RANCHO BERNARDO,3.994282549363962,50.30000000000001,True,expanded_ghcn
92128,USC00047248,RANCHO BERNARDO,2.860085820064209,43.69999999999999,True,expanded_ghcn
92129,USC00047248,RANCHO BERNARDO,7.700840078560034,36.30000000000001,True,expanded_ghcn
92130,USC00047248,RANCHO BERNARDO,14.23185354419289,163.3,True,expanded_ghcn
92131,USW00003131,SAN DIEGO MONTGOMERY FLD,12.684380872215561,105.6,True,expanded_ghcn
92132,USW00023188,SAN DIEGO INTL AP,2.4455736794196703,0.5999999999999996,True,expanded_ghcn
92134,USW00023188,SAN DIEGO INTL AP,3.65090051079759,63.4,True,expanded_ghcn
92135,USW00093112,N IS NAS,1.4688550961115205,0.7000000000000002,True,expanded_ghcn
92136,USC00041758,CHULA VISTA,5.915064675190741,11.100000000000001,True,expanded_ghcn
92139,USC00041758,CHULA VISTA,5.635167608167648,67.9,True,expanded_ghcn
92140,USW00023188,SAN DIEGO INTL AP,1.6116627622412902,0.5999999999999996,True,expanded_ghcn
92145,USW00003131,SAN DIEGO MONTGOMERY FLD,6.038495663554928,9.599999999999994,True,expanded_ghcn
92154,USW00003178,SAN DIEGO BROWN FLD,2.590888795010613,2.8000000000000114,True,expanded_ghcn
92155,USW00093112,N IS NAS,6.224492501167797,4.3,True,expanded_ghcn
92161,USW00003131,SAN DIEGO MONTGOMERY FLD,11.011099341951464,22.400000000000006,True,expanded_ghcn
92173,USW00003178,SAN DIEGO BROWN FLD,5.820990189639342,140.8,True,expanded_ghcn
92179,USW00003178,SAN DIEGO BROWN FLD,5.732934843770445,21.19999999999999,True,expanded_ghcn
92182,USW00003131,SAN DIEGO MONTGOMERY FLD,7.361247164516583,0.4000000000000057,True,expanded_ghcn
