month,agency,domestic_violence_incident,source_rows,distinct_incidents,distinct_offense_ids,distinct_arrest_numbers
2024-02,SHERIFF,,433,418,431,431
2024-03,CARLSBAD,,82,81,82,82
2024-03,CHULA VISTA,,94,92,94,94
2024-03,EL CAJON,,55,53,55,55
2024-03,ESCONDIDO,,148,145,148,148
2024-03,HARBOR POLICE,,35,35,35,35
2024-03,LA MESA,,36,36,36,36
2024-03,NATIONAL CITY,,45,44,45,45
2024-03,OCEANSIDE,,83,83,83,83
2024-03,SAN DIEGO,,627,616,627,626
2024-03,SHERIFF,,509,500,509,509
2024-04,CARLSBAD,,62,62,62,62
2024-04,CHULA VISTA,,87,86,86,86
2024-04,EL CAJON,,66,59,66,66
2024-04,ESCONDIDO,,134,130,134,134
2024-04,HARBOR POLICE,,34,34,34,34
2024-04,LA MESA,,42,42,42,42
2024-04,NATIONAL CITY,,34,29,34,34
2024-04,OCEANSIDE,,82,81,82,82
2024-04,SAN DIEGO,,577,569,576,576
2024-04,SHERIFF,,480,474,480,480
2024-05,CARLSBAD,,75,75,75,75
2024-05,CHULA VISTA,,86,85,86,86
2024-05,EL CAJON,,60,56,60,60
2024-05,ESCONDIDO,,155,150,155,155
2024-05,HARBOR POLICE,,48,48,48,48
2024-05,LA MESA,,44,43,44,44
2024-05,NATIONAL CITY,,34,33,33,33
2024-05,OCEANSIDE,,80,78,79,79
2024-05,SAN DIEGO,,632,617,631,631
2024-05,SHERIFF,,481,473,479,479
2024-06,CARLSBAD,,59,58,59,59
2024-06,CHULA VISTA,,103,100,103,103
2024-06,EL CAJON,,92,71,92,92
2024-06,ESCONDIDO,,147,141,147,147
2024-06,HARBOR POLICE,,28,28,28,28
2024-06,LA MESA,,42,42,42,42
2024-06,NATIONAL CITY,,36,36,36,36
2024-06,OCEANSIDE,,82,82,82,82
2024-06,SAN DIEGO,,619,606,618,618
2024-06,SHERIFF,,466,450,465,463
2024-07,CARLSBAD,,56,56,56,56
2024-07,CHULA VISTA,,89,83,89,89
2024-07,EL CAJON,,72,57,72,70
2024-07,ESCONDIDO,,134,133,134,134
2024-07,HARBOR POLICE,,43,41,43,42
2024-07,LA MESA,,36,36,36,36
2024-07,NATIONAL CITY,,32,31,32,32
2024-07,OCEANSIDE,,58,57,58,58
2024-07,SAN DIEGO,,632,613,630,629
2024-07,SHERIFF,,431,427,431,431
