date,agency,domestic_violence_incident,source_rows,distinct_incidents,distinct_offense_ids,distinct_arrest_numbers
2021-02-12,HARBOR POLICE,,2,2,2,2
2021-02-12,NATIONAL CITY,,1,1,1,1
2021-02-12,OCEANSIDE,,5,5,5,5
2021-02-12,SAN DIEGO,,19,19,19,19
2021-02-12,SHERIFF,,8,8,8,8
2021-02-13,CARLSBAD,,2,2,2,2
2021-02-13,CHULA VISTA,,2,2,2,2
2021-02-13,EL CAJON,,2,2,2,2
2021-02-13,ESCONDIDO,,5,5,5,5
2021-02-13,NATIONAL CITY,,3,3,3,3
2021-02-13,SAN DIEGO,,27,26,27,27
2021-02-13,SHERIFF,,6,6,6,6
2021-02-14,CARLSBAD,,3,3,3,3
2021-02-14,CHULA VISTA,,3,3,3,3
2021-02-14,ESCONDIDO,,3,3,3,3
2021-02-14,NATIONAL CITY,,1,1,1,1
2021-02-14,OCEANSIDE,,2,2,2,2
2021-02-14,SAN DIEGO,,11,11,11,11
2021-02-14,SHERIFF,,13,13,13,13
2021-02-15,CARLSBAD,,3,3,3,3
2021-02-15,CHULA VISTA,,2,2,2,2
2021-02-15,EL CAJON,,3,3,3,3
2021-02-15,ESCONDIDO,,2,2,2,2
2021-02-15,HARBOR POLICE,,1,1,1,1
2021-02-15,LA MESA,,2,2,2,2
2021-02-15,OCEANSIDE,,3,3,3,3
2021-02-15,SAN DIEGO,,23,14,23,23
2021-02-15,SHERIFF,,9,9,9,9
2021-02-16,CARLSBAD,,1,1,1,1
2021-02-16,CHULA VISTA,,1,1,1,1
2021-02-16,EL CAJON,,5,2,5,5
2021-02-16,ESCONDIDO,,5,5,5,5
2021-02-16,HARBOR POLICE,,6,6,6,6
2021-02-16,LA MESA,,1,1,1,1
2021-02-16,NATIONAL CITY,,2,2,2,2
2021-02-16,OCEANSIDE,,4,4,4,4
2021-02-16,SAN DIEGO,,12,12,12,12
2021-02-16,SHERIFF,,10,10,10,10
2021-02-17,CARLSBAD,,1,1,1,1
2021-02-17,CHULA VISTA,,4,4,4,4
2021-02-17,EL CAJON,,2,2,2,2
2021-02-17,ESCONDIDO,,2,2,2,2
2021-02-17,HARBOR POLICE,,1,1,1,1
2021-02-17,NATIONAL CITY,,1,1,1,1
2021-02-17,OCEANSIDE,,5,5,5,5
2021-02-17,SAN DIEGO,,13,13,13,13
2021-02-17,SHERIFF,,14,14,14,14
2021-02-18,CARLSBAD,,2,2,2,2
2021-02-18,CHULA VISTA,,2,2,2,2
2021-02-18,EL CAJON,,2,2,2,2
2021-02-18,ESCONDIDO,,3,3,3,3
2021-02-18,NATIONAL CITY,,1,1,1,1
2021-02-18,OCEANSIDE,,3,3,3,3
2021-02-18,SAN DIEGO,,21,21,21,21
2021-02-18,SHERIFF,,12,12,12,12
2021-02-19,CARLSBAD,,2,2,2,2
2021-02-19,CHULA VISTA,,3,3,3,3
2021-02-19,EL CAJON,,3,3,3,3
2021-02-19,ESCONDIDO,,4,4,4,4
2021-02-19,HARBOR POLICE,,1,1,1,1
2021-02-19,NATIONAL CITY,,1,1,1,1
2021-02-19,OCEANSIDE,,1,1,1,1
2021-02-19,SAN DIEGO,,32,32,32,32
2021-02-19,SHERIFF,,12,12,12,12
2021-02-20,CARLSBAD,,1,1,1,1
2021-02-20,CHULA VISTA,,3,3,3,3
2021-02-20,EL CAJON,,3,3,3,3
2021-02-20,ESCONDIDO,,8,8,8,8
2021-02-20,LA MESA,,2,2,2,2
2021-02-20,NATIONAL CITY,,6,5,6,6
2021-02-20,OCEANSIDE,,3,3,3,3
2021-02-20,SAN DIEGO,,32,32,32,32
2021-02-20,SHERIFF,,10,10,10,10
2021-02-21,CARLSBAD,,4,4,4,4
2021-02-21,CHULA VISTA,,2,2,2,2
2021-02-21,EL CAJON,,1,1,1,1
2021-02-21,ESCONDIDO,,4,4,4,4
2021-02-21,HARBOR POLICE,,1,1,1,1
2021-02-21,LA MESA,,1,1,1,1
2021-02-21,NATIONAL CITY,,3,3,3,3
2021-02-21,OCEANSIDE,,1,1,1,1
2021-02-21,SAN DIEGO,,19,19,19,19
2021-02-21,SHERIFF,,5,5,5,5
2021-02-22,CARLSBAD,,1,1,1,1
2021-02-22,CHULA VISTA,,1,1,1,1
2021-02-22,EL CAJON,,4,4,4,4
2021-02-22,ESCONDIDO,,1,1,1,1
2021-02-22,HARBOR POLICE,,2,2,2,2
2021-02-22,NATIONAL CITY,,1,1,1,1
2021-02-22,OCEANSIDE,,6,5,6,6
2021-02-22,SAN DIEGO,,10,10,10,10
2021-02-22,SHERIFF,,10,10,10,10
2021-02-23,CARLSBAD,,1,1,1,1
2021-02-23,CHULA VISTA,,1,1,1,1
2021-02-23,EL CAJON,,2,2,2,2
2021-02-23,ESCONDIDO,,6,6,6,6
2021-02-23,HARBOR POLICE,,1,1,1,1
2021-02-23,NATIONAL CITY,,1,1,1,1
2021-02-23,OCEANSIDE,,1,1,1,1
2021-02-23,SAN DIEGO,,21,20,21,21
2021-02-23,SHERIFF,,12,12,12,12
2021-02-24,CARLSBAD,,1,1,1,1
2021-02-24,ESCONDIDO,,4,4,4,4
2021-02-24,HARBOR POLICE,,1,1,1,1
2021-02-24,LA MESA,,1,1,1,1
2021-02-24,NATIONAL CITY,,1,1,1,1
2021-02-24,OCEANSIDE,,4,4,4,4
2021-02-24,SAN DIEGO,,15,15,15,15
2021-02-24,SHERIFF,,9,9,9,9
2021-02-25,CARLSBAD,,2,2,2,2
2021-02-25,CHULA VISTA,,3,3,3,3
2021-02-25,EL CAJON,,2,2,2,2
2021-02-25,ESCONDIDO,,5,5,5,5
2021-02-25,LA MESA,,2,2,2,2
2021-02-25,NATIONAL CITY,,2,2,2,2
2021-02-25,OCEANSIDE,,1,1,1,1
2021-02-25,SAN DIEGO,,19,19,19,19
2021-02-25,SHERIFF,,12,12,12,12
2021-02-26,CARLSBAD,,3,3,3,3
2021-02-26,CHULA VISTA,,3,3,3,3
2021-02-26,EL CAJON,,4,4,4,4
2021-02-26,ESCONDIDO,,5,5,5,5
2021-02-26,HARBOR POLICE,,2,2,2,2
2021-02-26,NATIONAL CITY,,5,4,5,5
2021-02-26,OCEANSIDE,,5,5,5,5
2021-02-26,SAN DIEGO,,22,22,22,22
2021-02-26,SHERIFF,,10,10,10,10
2021-02-27,CARLSBAD,,4,4,4,4
2021-02-27,CHULA VISTA,,4,4,4,4
2021-02-27,EL CAJON,,2,2,2,2
2021-02-27,ESCONDIDO,,1,1,1,1
2021-02-27,LA MESA,,1,1,1,1
2021-02-27,NATIONAL CITY,,1,1,1,1
2021-02-27,OCEANSIDE,,2,2,2,2
2021-02-27,SAN DIEGO,,26,25,26,26
2021-02-27,SHERIFF,,9,9,9,9
2021-02-28,CARLSBAD,,2,2,2,2
2021-02-28,CHULA VISTA,,2,2,2,2
2021-02-28,EL CAJON,,1,1,1,1
2021-02-28,ESCONDIDO,,2,2,2,2
2021-02-28,LA MESA,,2,2,2,2
2021-02-28,NATIONAL CITY,,5,5,5,5
2021-02-28,OCEANSIDE,,4,4,4,4
2021-02-28,SAN DIEGO,,16,16,16,16
2021-02-28,SHERIFF,,11,10,11,11
2021-03-01,CARLSBAD,,2,2,2,2
2021-03-01,EL CAJON,,3,3,3,3
2021-03-01,ESCONDIDO,,2,2,2,2
2021-03-01,HARBOR POLICE,,1,1,1,1
2021-03-01,LA MESA,,2,2,2,2
2021-03-01,NATIONAL CITY,,1,1,1,1
2021-03-01,OCEANSIDE,,3,3,3,3
2021-03-01,SAN DIEGO,,16,15,16,16
2021-03-01,SHERIFF,,13,13,13,13
2021-03-02,CARLSBAD,,1,1,1,1
2021-03-02,CHULA VISTA,,1,1,1,1
2021-03-02,EL CAJON,,3,3,3,3
2021-03-02,ESCONDIDO,,2,2,2,2
2021-03-02,HARBOR POLICE,,1,1,1,1
2021-03-02,OCEANSIDE,,3,3,3,3
2021-03-02,SAN DIEGO,,20,20,20,20
2021-03-02,SHERIFF,,12,12,12,12
