month,agency,domestic_violence_incident,source_rows,distinct_incidents,distinct_offense_ids
2023-02,EL CAJON,False,347,265,326
2023-02,EL CAJON,True,64,59,64
2023-02,ESCONDIDO,False,440,358,415
2023-02,ESCONDIDO,True,52,45,52
2023-02,HARBOR POLICE,False,81,66,78
2023-02,HARBOR POLICE,True,8,6,8
2023-02,LA MESA,False,223,167,206
2023-02,LA MESA,True,32,28,32
2023-02,NATIONAL CITY,False,277,208,240
2023-02,NATIONAL CITY,True,20,15,19
2023-02,OCEANSIDE,False,628,527,602
2023-02,OCEANSIDE,True,61,44,61
2023-02,SAN DIEGO,False,4404,3484,3920
2023-02,SAN DIEGO,True,454,396,450
2023-02,SHERIFF,False,2236,1705,2111
2023-02,SHERIFF,True,251,203,250
2023-03,CARLSBAD,False,361,287,352
2023-03,CARLSBAD,True,20,18,20
2023-03,CHULA VISTA,False,740,560,643
2023-03,CHULA VISTA,True,96,78,95
2023-03,EL CAJON,False,432,322,403
2023-03,EL CAJON,True,78,60,78
2023-03,ESCONDIDO,False,518,407,487
2023-03,ESCONDIDO,True,72,64,72
2023-03,HARBOR POLICE,False,119,92,109
2023-03,HARBOR POLICE,True,4,4,4
2023-03,LA MESA,False,238,180,225
2023-03,LA MESA,True,39,32,39
2023-03,NATIONAL CITY,False,306,239,273
2023-03,NATIONAL CITY,True,37,26,36
2023-03,OCEANSIDE,False,709,574,678
2023-03,OCEANSIDE,True,76,63,76
2023-03,SAN DIEGO,False,4983,3978,4482
2023-03,SAN DIEGO,True,404,342,401
2023-03,SHERIFF,False,2441,1833,2306
2023-03,SHERIFF,True,296,250,294
2023-04,CARLSBAD,False,373,304,360
2023-04,CARLSBAD,True,16,14,16
2023-04,CHULA VISTA,False,781,599,685
2023-04,CHULA VISTA,True,97,76,97
2023-04,EL CAJON,False,395,290,371
2023-04,EL CAJON,True,63,53,63
2023-04,ESCONDIDO,False,543,448,512
2023-04,ESCONDIDO,True,78,63,78
2023-04,HARBOR POLICE,False,124,108,122
2023-04,HARBOR POLICE,True,3,3,3
2023-04,LA MESA,False,259,187,248
2023-04,LA MESA,True,40,36,40
2023-04,NATIONAL CITY,False,359,260,321
2023-04,NATIONAL CITY,True,28,22,28
2023-04,OCEANSIDE,False,680,562,649
