month,group_type,offense_code,offense_description,source_rows
2026-05,A,11B,Forcible Sodomy,1
2026-05,A,11C,Sexual Assault With an Object,5
2026-05,A,11D,Forcible Fondling,25
2026-05,A,120,Robbery,73
2026-05,A,13A,Aggravated Assault,400
2026-05,A,13B,Simple Assault,596
2026-05,A,13C,Intimidation,88
2026-05,A,200,Arson,11
2026-05,A,210,Extortion/Blackmail,2
2026-05,A,220,Burglary/Breaking & Entering,145
2026-05,A,23A,Pocket-Picking,2
2026-05,A,23B,Purse-Snatching,1
2026-05,A,23C,Shoplifting,411
2026-05,A,23D,Theft From Building,37
2026-05,A,23F,Theft From Motor Vehicle,314
2026-05,A,23G,Theft of Motor Vehicle Parts/Accessories,97
2026-05,A,23H,All Other Larceny,626
2026-05,A,240,Motor Vehicle Theft,348
2026-05,A,250,Counterfeiting/Forgery,10
2026-05,A,26A,False Pretenses/Swindle/Confidence Game,37
2026-05,A,26B,Credit Card/Automatic Teller Fraud,7
2026-05,A,26C,Impersonation,184
2026-05,A,26F,Identity Theft,26
2026-05,A,270,Embezzlement,6
2026-05,A,280,Stolen Property Offenses,41
2026-05,A,290,Destruction/Damage/Vandalism of Property,511
2026-05,A,35A,Drug/narcotic Violations,406
2026-05,A,35B,Drug Equipment Violations,257
2026-05,A,36B,Statutory Rape,2
2026-05,A,370,Pornography/Obscene Material,6
2026-05,A,40A,Prostitution,1
2026-05,A,520,Weapon Law Violations,67
2026-05,A,64A,"Human trafficking, Commercial Sex Acts",7
2026-05,A,64B,"Human Trafficking, Involuntary Servitude",1
2026-05,A,720,Animal Cruelty,4
2026-05,B,90B,Curfew/Loitering/Vagrancy Violations,17
2026-05,B,90C,Disorderly Conduct,201
2026-05,B,90D,Driving Under the Influence,141
2026-05,B,90G,Liquor Law Violations,12
2026-05,B,90J,Trespass of Real Property,26
2026-05,B,90Z,All Other Offenses,1315
2026-06,A,09A,Murder and Nonnegligent Manslaughter,5
2026-06,A,100,Kidnapping/Abduction,28
2026-06,A,11A,Forcible Rape,25
2026-06,A,11B,Forcible Sodomy,5
2026-06,A,11C,Sexual Assault With an Object,2
2026-06,A,11D,Forcible Fondling,33
2026-06,A,120,Robbery,77
2026-06,A,13A,Aggravated Assault,394
2026-06,A,13B,Simple Assault,621
2026-06,A,13C,Intimidation,78
2026-06,A,200,Arson,14
2026-06,A,210,Extortion/Blackmail,8
2026-06,A,220,Burglary/Breaking & Entering,141
2026-06,A,23A,Pocket-Picking,1
2026-06,A,23B,Purse-Snatching,3
2026-06,A,23C,Shoplifting,412
2026-06,A,23D,Theft From Building,26
2026-06,A,23F,Theft From Motor Vehicle,325
2026-06,A,23G,Theft of Motor Vehicle Parts/Accessories,102
2026-06,A,23H,All Other Larceny,619
2026-06,A,240,Motor Vehicle Theft,287
2026-06,A,250,Counterfeiting/Forgery,8
2026-06,A,26A,False Pretenses/Swindle/Confidence Game,37
2026-06,A,26B,Credit Card/Automatic Teller Fraud,6
2026-06,A,26C,Impersonation,198
2026-06,A,26F,Identity Theft,22
2026-06,A,26G,Hacking/Computer Fraud,3
2026-06,A,270,Embezzlement,11
2026-06,A,280,Stolen Property Offenses,44
2026-06,A,290,Destruction/Damage/Vandalism of Property,473
2026-06,A,35A,Drug/narcotic Violations,434
2026-06,A,35B,Drug Equipment Violations,300
2026-06,A,36B,Statutory Rape,3
2026-06,A,370,Pornography/Obscene Material,5
2026-06,A,40A,Prostitution,4
2026-06,A,520,Weapon Law Violations,86
2026-06,A,64A,"Human trafficking, Commercial Sex Acts",2
2026-06,A,64B,"Human Trafficking, Involuntary Servitude",2
2026-06,A,720,Animal Cruelty,2
2026-06,B,90B,Curfew/Loitering/Vagrancy Violations,38
2026-06,B,90C,Disorderly Conduct,182
2026-06,B,90D,Driving Under the Influence,135
2026-06,B,90F,Family Offenses (Nonviolent),1
2026-06,B,90G,Liquor Law Violations,11
2026-06,B,90H,Peeping Tom,1
2026-06,B,90J,Trespass of Real Property,27
2026-06,B,90Z,All Other Offenses,1396
2026-07,A,09A,Murder and Nonnegligent Manslaughter,5
2026-07,A,09B,Negligent Manslaughter,1
2026-07,A,100,Kidnapping/Abduction,25
2026-07,A,11A,Forcible Rape,23
2026-07,A,11B,Forcible Sodomy,1
2026-07,A,11C,Sexual Assault With an Object,1
